date,rank,title,artist,collab
12/8/90,9,Tom s Diner,DNA Featuring Suzanne Vega,
12/8/90,10,Justify My Love,Madonna,
12/15/90,1,Because I Love You (The Postman Song),Stevie B,
12/15/90,2,From A Distance,Bette Midler,
12/15/90,3,I m Your Baby Tonight,Whitney Houston,
12/15/90,4,Justify My Love,Madonna,
12/15/90,5,Impulsive,Wilson Phillips,
12/15/90,6,The Way You Do The Things You Do,UB40,
12/15/90,7,Tom s Diner,DNA Featuring Suzanne Vega,
12/15/90,8,Something To Believe In,Poison,
12/15/90,9,Freedom,George Michael,
12/15/90,10,High Enough,Damn Yankees,
12/22/90,1,Because I Love You (The Postman Song),Stevie B,
12/22/90,2,Justify My Love,Madonna,
12/22/90,3,From A Distance,Bette Midler,
12/22/90,4,Impulsive,Wilson Phillips,
12/22/90,5,Tom s Diner,DNA Featuring Suzanne Vega,
12/22/90,6,High Enough,Damn Yankees,
12/22/90,7,I m Your Baby Tonight,Whitney Houston,
12/22/90,8,Freedom,George Michael,
12/22/90,9,The Way You Do The Things You Do,UB40,
12/22/90,10,Sensitivity,Ralph Tresvant,
12/29/90,1,Because I Love You (The Postman Song),Stevie B,
12/29/90,2,Justify My Love,Madonna,
12/29/90,3,From A Distance,Bette Midler,
12/29/90,4,Impulsive,Wilson Phillips,
12/29/90,5,Tom s Diner,DNA Featuring Suzanne Vega,
12/29/90,6,High Enough,Damn Yankees,
12/29/90,7,I m Your Baby Tonight,Whitney Houston,
12/29/90,8,Freedom,George Michael,
12/29/90,9,The Way You Do The Things You Do,UB40,
12/29/90,10,Sensitivity,Ralph Tresvant,
1/5/91,1,Justify My Love,Madonna,
1/5/91,2,Because I Love You (The Postman Song),Stevie B,
1/5/91,3,From A Distance,Bette Midler,
1/5/91,4,High Enough,Damn Yankees,
1/5/91,5,Tom s Diner,DNA Featuring Suzanne Vega,
1/5/91,6,Impulsive,Wilson Phillips,
1/5/91,7,Love Will Never Do (Without You),Janet Jackson,
1/5/91,8,Sensitivity,Ralph Tresvant,
1/5/91,9,The First Time,Surface,
1/5/91,10,I m Your Baby Tonight,Whitney Houston,
1/12/91,1,Justify My Love,Madonna,
1/12/91,2,Because I Love You (The Postman Song),Stevie B,
1/12/91,3,High Enough,Damn Yankees,
1/12/91,4,Love Will Never Do (Without You),Janet Jackson,
1/12/91,5,From A Distance,Bette Midler,
